,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,se,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_lb,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,moe_95_ub,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,sigdiff,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed,var_removed
week_num,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47
race_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asian,0.052781021274875876,0.06559490358892865,0.0520120309613423,0.049577224120179675,0.0701683512767844,0.06900078343552629,0.07254515767116802,0.08320728099278675,0.07858277035815386,0.048942560651063706,0.10402049157608118,0.06643254123405483,0.057396169750190455,0.0686061945376034,0.054392013518587155,0.0335575437191605,0.060546694360859896,0.04936179850806117,0.07701103077044315,0.052204022729712564,0.04568145664411927,0.05495279215593828,0.04244431590469847,0.03800542250759097,0.06377855937372139,0.037454980388987896,0.048984770118696494,0.03869849509406559,0.049636656704777515,0.05861312037570928,0.05107686403436231,0.03942682391958715,0.05595692655428274,0.05737979976352916,0.06802948359348468,0.02880967226341895,0.039684439886671724,0.034716616101505705,0.033357901185868385,0.04816177416187501,0.05037539970603932,0.03784307115951304,0.050092752176451774,0.05117562063613718,0.029503990643844128,0.0624132275397592,0.040737466782500745,0.03365490158315746,0.042074249859174774,0.036745723559399576,0.0259252100841586,0.0431100487316822,0.03707204576130514,0.04430776682739232,0.034728265543282975,0.03291097971922918,0.030647513241199662,0.03051127000278738,0.027737801266586242,0.03586935466872713,0.02639185949127003,0.035760249110793486,0.025575603317996666,0.03150964314600007,0.04051044420541662,0.03206137931149148,0.02700282103801352,0.04109563225068165,0.03927788258650034,0.04507089009646692,0.056466957636301184,0.0777815021778766,0.06804456755895123,0.06538148632430207,0.09439707735727504,0.0987357834238371,0.07417241947264559,0.09818179426584552,0.10030421644682892,0.05782782166193452,0.12232992597792806,0.07984543489370148,0.06596360710298865,0.08246552972398259,0.07202161817642319,0.05081341176495089,0.08449569551409715,0.07266120969215813,0.08684322298168898,0.06806740046483466,0.06450552024968924,0.060069125952751365,0.05980208920546329,0.05436609048250906,0.0703039351507052,0.051728044602889295,0.07009008825715526,0.0501281825032735,0.06175890056616018,0.07940047064261663,0.06284030345052334,0.05292552923450652,0.08054743921133604,0.07698464986954072,0.08833894458907522,-0.0036859363614253015,-0.01218659858894795,-0.016032536597608907,-0.015804262204122392,-0.024228726080490613,-0.029734999988310785,-0.0016272618014775502,-0.014974513273058742,-0.021721446088675038,-0.008885261010870789,-0.01830943440184688,-0.01341289365964664,-0.008567437352798184,-0.013859335186379183,-0.017629604657836032,-0.017255868045790365,-0.023949001153237236,-0.02329941118409693,-0.009832192211245814,-0.01689470198458927,-0.018824063605569947,-0.005116333796813059,-0.017357773300764788,-0.016360667974918065,-0.006525375776983796,-0.014273064213901374,-0.021105318138458746,-0.01142968740920788,-0.012122243861382642,-0.020787350266907315,-0.011763439416161009,-0.013498705314919352,-0.024590512657053292,-0.019604850106011547,-0.020309460995590507,0.10924797891117709,0.1433764057668053,0.12005659852029356,0.11495871044448178,0.16456542863405949,0.16773656685936345,0.14671757714381364,0.1813890752586323,0.1788869868049828,0.10677038231299828,0.22635041755400928,0.14627797612775634,0.12335977685317914,0.15107172426158605,0.12641363169501038,0.08437095548411143,0.14504238987495707,0.12202300820021932,0.16385425375213217,0.12130274744401445,0.11018697689380855,0.11502191810868968,0.1022464051101618,0.09237151299010005,0.1340824945244266,0.08918302499187722,0.11907485837585179,0.0888266775973391,0.11139555727093774,0.13801359101832594,0.11391716748488567,0.0923523531540937,0.13650436576561883,0.1343644496330699,0.15636842818255992,0.47761194029850745,0.5074626865671642,0.4925373134328358,0.5970149253731343,0.5373134328358209,0.5074626865671642,0.5970149253731343,0.5223880597014925,0.5074626865671642,0.6268656716417911,0.34328358208955223,0.5074626865671642,0.6119402985074627,0.5223880597014925,0.4626865671641791,0.5373134328358209,0.5223880597014925,0.5074626865671642,0.40298507462686567,0.5303030303030303,0.5522388059701493,0.5373134328358209,0.6119402985074627,0.6567164179104478,0.6417910447761194,0.5970149253731343,0.5671641791044776,0.5970149253731343,0.5522388059701493,0.6567164179104478,0.6567164179104478,0.7014925373134329,0.5373134328358209,0.5223880597014925,0.6268656716417911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
black,0.18282144124912694,0.17315565014131307,0.17528782349612504,0.19355426847494622,0.2056718554411102,0.20240702360683305,0.19366630579096414,0.20611583888593407,0.22481148368558845,0.20429902719432302,0.19785100705471736,0.19197101520281823,0.18124354965207023,0.18262566107790543,0.15799534339177163,0.13652761910992847,0.13978840990108754,0.1772964761190581,0.1571092172047736,0.17766546455782276,0.15601783638522043,0.16146824856708922,0.14007600009794946,0.1631559014963097,0.13684338750760508,0.16953097852816246,0.1496027846221525,0.15308211018595985,0.1731562899574131,0.191341055208192,0.2109927840275234,0.19990699388021288,0.18589762525412082,0.19968118506786395,0.25979617546606404,0.06096775882442848,0.05530555859193947,0.0626128143055183,0.06588205933961667,0.07477831015987345,0.08213625589226933,0.0751417787404257,0.07035062404605344,0.0754802319951118,0.08368046052043392,0.0740729517979943,0.06618815536823412,0.0651453784515253,0.06635009195520528,0.06760127515061794,0.061061632675940634,0.05454746508906863,0.0698679208759644,0.06856714762032709,0.06374833268013247,0.05865951645654893,0.06712218063642285,0.062032395170211516,0.06624166899948594,0.06522727665020892,0.07074081574085765,0.06618596395324024,0.06036264611219933,0.061484318174666486,0.0660582330468755,0.07378132418812515,0.07327383155027335,0.07153681522080008,0.07202720024495145,0.09483944099105235,0.11949680729587989,0.10839889484020142,0.1227211160388159,0.12912883630564873,0.146565487913352,0.16098706154884793,0.1472778863312344,0.13788722313026477,0.14794125471041913,0.16401370262005052,0.14518298552406883,0.12972878452173892,0.1276849417649896,0.13004618023220238,0.13249849929521118,0.1196808000448437,0.10691303157457456,0.13694112491689026,0.13439160933584113,0.12494673205305966,0.11497265225483594,0.13155947404738882,0.12158349453361464,0.1298336712389925,0.1278454622344095,0.13865199885208104,0.1297244893483509,0.11831078637991073,0.12050926362234639,0.129474136771876,0.14461139540872534,0.14361670983853583,0.1402121578327682,0.1411733124801049,0.18588530434246264,0.06332463395324704,0.06475675530111165,0.05256670745730909,0.06442543216929747,0.059106367527758163,0.04141996205798509,0.046388419459729706,0.06822861575566926,0.07687022897516928,0.040285324574272474,0.05266802153064846,0.0622422306810793,0.05355860788708062,0.052579480845703006,0.025496844096560414,0.016846819065084777,0.03287537832651298,0.04035535120216782,0.020681371363843962,0.05271873250476307,0.04104518413038445,0.02990877451970035,0.018492505564334818,0.03332223025731719,0.008997925273195578,0.03087897967608137,0.019878295273801583,0.034771323806049116,0.05264702633506672,0.06186691843631599,0.06638138861879803,0.05629028404167701,0.0456854674213526,0.05850787258775905,0.07391087112360141,0.3023182485450069,0.28155454498151455,0.298008939534941,0.32268310478059503,0.3522373433544622,0.36339408515568106,0.34094419212219856,0.3440030620161989,0.37275273839600764,0.3683127298143736,0.3430339925787862,0.3216997997245572,0.3089284914170599,0.31267184131010783,0.29049384268698286,0.2562084191547722,0.24670144147566214,0.3142376010359484,0.2935370630457033,0.30261219661088246,0.2709904886400564,0.2930277226144781,0.2616594946315641,0.2929895727353022,0.2646888497420147,0.30818297738024353,0.2793272739705035,0.2713928965658706,0.29366555357975954,0.320815191980068,0.3556041794362488,0.34352370371874874,0.32610978308688904,0.34085449754796887,0.44568147980852674,0.5074626865671642,0.417910447761194,0.3283582089552239,0.417910447761194,0.31343283582089554,0.31343283582089554,0.2835820895522388,0.40298507462686567,0.43283582089552236,0.3283582089552239,0.3582089552238806,0.417910447761194,0.47761194029850745,0.373134328358209,0.34328358208955223,0.29850746268656714,0.3582089552238806,0.2835820895522388,0.22727272727272727,0.373134328358209,0.34328358208955223,0.29850746268656714,0.29850746268656714,0.3283582089552239,0.23880597014925373,0.3582089552238806,0.2537313432835821,0.26865671641791045,0.43283582089552236,0.43283582089552236,0.47761194029850745,0.40298507462686567,0.34328358208955223,0.5223880597014925,0.4626865671641791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hispanic,0.17746688394400598,0.178732640468711,0.17533703381786397,0.1621376866966046,0.19318363635305372,0.2140528785211841,0.1954756715295462,0.20953540919635052,0.20868990941191023,0.19051607620498728,0.1892286968709332,0.17690001226629712,0.16092682491151905,0.1729199268575252,0.17770643926041013,0.1546446733917546,0.14933992475577174,0.15009605247926697,0.16204844533924523,0.17059832055111604,0.17683794805599112,0.14609947173671511,0.12680549192151397,0.1478163916924053,0.14587007530953985,0.14856432107449122,0.14297478058646992,0.16800597097816342,0.18168683483080825,0.15723848281808267,0.16733550632917646,0.20196851712934352,0.20761620683311818,0.19658347624735653,0.1712484234568922,0.05158457370400412,0.05389012678374727,0.05643660650658935,0.05684745822046805,0.062414448481638775,0.08236590019369062,0.06770237771354148,0.07602551720408794,0.06926329276922566,0.0678674472277561,0.06746275323785762,0.06033320309229291,0.0610923736203095,0.06093363569825021,0.06889140304489147,0.06629570898702812,0.06107382765222383,0.057384492231935966,0.06487179260998184,0.0695647169363116,0.07475787809653915,0.06799833858147326,0.056987049157002694,0.06570717877614667,0.06871058757614315,0.06511319893677814,0.05952482571134196,0.06536144516562989,0.06473692391078975,0.05514899681057408,0.05812557928000894,0.07563407400621182,0.08152665868057234,0.07960272716320413,0.06655446038910678,0.1011057644598481,0.1056246484961447,0.11061574875291516,0.11142101811211744,0.12233231902401204,0.16143716437963365,0.13269666031854135,0.14901001372001244,0.13575605382768233,0.13302019656640202,0.13222699634620097,0.11825307806089416,0.11974105229580666,0.11942992596857045,0.13502714996798731,0.12993958961457516,0.11970470219835874,0.11247360477459455,0.12714871351556445,0.1363468451951708,0.14652544106921678,0.13327674361968764,0.11169461634772532,0.12878607040124754,0.1346727516492406,0.12762186991608518,0.11666865839423031,0.12810843252463464,0.12688437086514795,0.10809203374872522,0.11392613538881757,0.14824278505217522,0.15979225101392178,0.15602134523988012,0.13044674236264933,0.07636111948415784,0.07310799197256627,0.06472128506494881,0.05071666858448715,0.07085131732904164,0.05261571414155043,0.06277901121100479,0.06052539547633806,0.07293385558422785,0.05749587963858527,0.05700170052473214,0.05864693420540292,0.04118577261571238,0.05349000088895469,0.042679289292422776,0.02470508377717945,0.029635222557412983,0.03762244770467239,0.03489973182368075,0.034251475355945235,0.030312506986774335,0.012822728117027463,0.015110875573788653,0.019030321291157747,0.011197323660299203,0.020942451158406022,0.026306122192239618,0.03989753845352875,0.054802463965660235,0.04914644906935738,0.05340937094035887,0.05372573207716827,0.04782395581919636,0.04056213100747639,0.040801681094242835,0.27857264840385415,0.2843572889648558,0.2859527825707792,0.2735587048087221,0.31551595537706584,0.3754900429008178,0.32817233184808764,0.358545422916363,0.34444596323959265,0.3235362727713893,0.3214556932171342,0.29515309032719134,0.2806678772073257,0.29234985282609566,0.3127335892283975,0.28458426300632983,0.26904462695413056,0.2625696572538615,0.28919715885480973,0.3069451657462869,0.3233633891252079,0.27937621535640283,0.23850010826923934,0.27660246209365286,0.2805428269587805,0.27618619099057645,0.25964343898070025,0.29611440350279805,0.30857120569595625,0.26533051656680795,0.2812616417179941,0.35021130218151875,0.36740845784704,0.3526048214872367,0.3016951658195416,0.417910447761194,0.3283582089552239,0.40298507462686567,0.26865671641791045,0.3880597014925373,0.2537313432835821,0.26865671641791045,0.2835820895522388,0.3880597014925373,0.3582089552238806,0.31343283582089554,0.34328358208955223,0.26865671641791045,0.373134328358209,0.2835820895522388,0.29850746268656714,0.29850746268656714,0.2835820895522388,0.26865671641791045,0.22388059701492538,0.2537313432835821,0.11940298507462686,0.2537313432835821,0.1791044776119403,0.14925373134328357,0.22388059701492538,0.2835820895522388,0.29850746268656714,0.31343283582089554,0.29850746268656714,0.26865671641791045,0.34328358208955223,0.3283582089552239,0.23880597014925373,0.1791044776119403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,0.15123941671380484,0.1613967463992839,0.1456181626147124,0.1550592742910092,0.18373207621503593,0.1649348947469106,0.21337010118352776,0.1906913508472934,0.18790033151103264,0.16349859014031926,0.17588646713868952,0.16895865988854308,0.18166908853366492,0.18717788790094492,0.13274033435934035,0.13685784234435083,0.1271163311284881,0.13695558867491803,0.1624906159084802,0.1857160512643873,0.17352789528419954,0.15551584421965509,0.1276343845231275,0.1400937761012277,0.14955773195321417,0.12929823049539652,0.16445535986259943,0.1667360935880042,0.18367055743474095,0.18381008023881046,0.1843582569285431,0.16787541504884154,0.1947825382573129,0.16336131240928906,0.17692113109828997,0.0651021062331836,0.06658297013823898,0.06497134014023433,0.07075843234417784,0.07571657316299106,0.08339064671508382,0.09239916314026808,0.08607329584424783,0.08821458425749586,0.07990762317177988,0.08345992162906771,0.0799885583545988,0.08388530625411117,0.08947625117557582,0.06821761595426132,0.07413786062545412,0.06996734408696523,0.07381928543184163,0.07710692466712174,0.08754739411704276,0.085067791544287,0.07578981782437608,0.0732380752368254,0.07648032425699376,0.08473739982572996,0.07355584570328957,0.08702477936388493,0.08051072575470222,0.08596562577526488,0.07907854711027683,0.08223901346061512,0.08340988457209939,0.09913921878587814,0.08001279329682034,0.091751253173789,0.1276001282170399,0.1305026214709484,0.12734382667485936,0.13868652739458862,0.14840448339946252,0.1634456675615643,0.1811023597549255,0.16870365985472582,0.1729005851446919,0.15661894141668858,0.16358144639297273,0.1567775743750137,0.16441520025805795,0.17537345230412865,0.13370652727035223,0.1453102068258901,0.13713599441045188,0.14468579944640966,0.15112957234755867,0.17159289246940387,0.16673287142680254,0.14854804293577714,0.14354662746417782,0.14990143554370783,0.1660853036584308,0.1441694575784476,0.1705685675532145,0.1578010224792164,0.16849262651951918,0.1549939523361426,0.16118846638280568,0.16348337376131486,0.1943128688203212,0.1568250748617679,0.17983245622062652,0.02363928849676489,0.030894124928335473,0.01827433593985304,0.016372746896420584,0.035327592815573405,0.0014892271853462781,0.032267741428602253,0.02198769099256761,0.014999746366340756,0.0068796487236306905,0.012305020745716756,0.012181085513529385,0.017253888275607,0.011804435596816284,-0.0009661929110118523,-0.008452364481539262,-0.010019663281963768,-0.007730210771491621,0.011361043560921578,0.014123158794983461,0.006795023857396984,0.0069678012838779784,-0.015912242941050297,-0.009807659442480103,-0.016527571705216584,-0.014871227083051042,-0.00611320769061508,0.008935071108787806,0.015177930915221738,0.02881612790266782,0.023169790545737395,0.004392041287526714,0.00046966943699173764,0.006536237547521161,-0.002911325122336508,0.2788395449308448,0.29189936787023235,0.27296198928957177,0.2937458016855979,0.3321365596144985,0.32838056230847495,0.3944724609384533,0.3593950107020193,0.3608009166557246,0.32011753155700795,0.3394679135316623,0.3257362342635568,0.3460842887917229,0.3625513402050736,0.2664468616296926,0.282168049170241,0.26425232553894,0.28164138812132766,0.31362018825603893,0.35730894373379124,0.34026076671100214,0.30406388715543226,0.2711810119873054,0.2899952116449356,0.315643035611645,0.27346768807384414,0.335023927415814,0.32453711606722063,0.35216318395426016,0.3388040325749531,0.34554672331134884,0.3313587888101564,0.3890954070776342,0.32018638727105697,0.35675358731891654,0.13432835820895522,0.16417910447761194,0.208955223880597,0.08955223880597014,0.16417910447761194,0.1791044776119403,0.19402985074626866,0.13432835820895522,0.1791044776119403,0.19402985074626866,0.13432835820895522,0.19402985074626866,0.208955223880597,0.16417910447761194,0.2835820895522388,0.23880597014925373,0.1791044776119403,0.1791044776119403,0.29850746268656714,0.31343283582089554,0.13432835820895522,0.34328358208955223,0.13432835820895522,0.1791044776119403,0.23880597014925373,0.31343283582089554,0.14925373134328357,0.19402985074626866,0.08955223880597014,0.2537313432835821,0.1791044776119403,0.22388059701492538,0.13432835820895522,0.07462686567164178,0.14925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.09848530856716964,0.10198001735496187,0.09714624839311446,0.09977874111268399,0.10487392505929284,0.11537580728216101,0.11610138366951771,0.12193662752281477,0.12923597332724038,0.10826358218322077,0.1061771525396067,0.10712885452425065,0.10154824763135759,0.10136263749175374,0.08496609305899692,0.07780696608187684,0.08187616845716875,0.0854024917206386,0.09013560406593743,0.09546208229745981,0.09502295422714199,0.08221172353657047,0.07521545694019904,0.08401729243730488,0.08166456994477961,0.08971583681863571,0.08868043399037745,0.09738921522445727,0.10158036866675946,0.09855580457872035,0.10014534989642675,0.10783723153374197,0.10746670427383756,0.10955937248812844,0.11667845883998276,0.011955491174037868,0.012533494471077529,0.012491053645329646,0.013206714768225467,0.013995368978536728,0.017882191721311117,0.016522742414228648,0.01714900047887882,0.017272218181198246,0.015747433161263882,0.01535946647008882,0.015775617069613328,0.015399802673737898,0.015001014158583506,0.014376600053511527,0.014148465818593792,0.014072250626464052,0.01472910783959552,0.015638029312709394,0.01548158366526596,0.01606381325488768,0.015227339764226586,0.013588167320587725,0.01537072839422976,0.01570086855013033,0.016375333833720352,0.016256822843999968,0.0167484495571886,0.014989179457078184,0.014247581362258573,0.014106028281424736,0.017248221465595858,0.017341732574807617,0.01719279038303144,0.018343033937498095,0.02343276270111427,0.024565649163312,0.024482465144846165,0.025885160945721946,0.027430923197932035,0.035049095773769835,0.03238457513188821,0.03361204093860253,0.033853547635148626,0.03086496899607727,0.030104554281374138,0.030920209456442166,0.030183613240526323,0.029401987750823734,0.02817813610488265,0.02773099300444386,0.027581611227869583,0.02886905136560727,0.030650537452910454,0.03034390398392132,0.031485073979579885,0.02984558593788416,0.026632807948352002,0.030126627652690384,0.0307737023582555,0.03209565431409192,0.03186337277423997,0.03282696113208971,0.029378791735873294,0.027925259470026845,0.02764781543159253,0.033806514072567934,0.03398979584662298,0.033697869150741654,0.03595234651749632,0.0750525458660553,0.07741436819164982,0.07266378324826825,0.073893580166962,0.07744300186136074,0.08032671150839112,0.08371680853762946,0.08832458658421222,0.0953824256920917,0.07739861318714344,0.07607259825823252,0.07620864506780846,0.07136463439083121,0.07196064974092997,0.05678795695411423,0.050075973077432924,0.054294557229299115,0.056533440355031266,0.05948506661302691,0.06511817831353844,0.06353788024756205,0.05236613759868627,0.04858264899184699,0.05389066478461445,0.05089086758652405,0.057620182504543725,0.05681706121613742,0.06456225409236752,0.07220157693088611,0.07063054510869345,0.07249753446483417,0.07403071746117398,0.07347690842721454,0.07586150333738674,0.08072611232248639,0.12191807126828394,0.12654566651827392,0.1216287135379607,0.12566390205840602,0.1323048482572249,0.1504249030559309,0.14848595880140594,0.15554866846141738,0.16308952096238905,0.1391285511792981,0.1362817068209809,0.1380490639806929,0.13173186087188396,0.13076462524257754,0.11314422916387962,0.10553795908632074,0.10945777968503838,0.1142715430862459,0.12078614151884794,0.1258059862813812,0.12650802820672194,0.11205730947445469,0.10184826488855112,0.11414392008999531,0.11243827230303516,0.12181149113272768,0.12054380676461748,0.13021617635654703,0.1309591604026328,0.12648106404874723,0.12779316532801932,0.14164374560630996,0.14145650012046063,0.14325724163887016,0.15263080535747914,0.42424242424242425,0.3181818181818182,0.2727272727272727,0.3787878787878788,0.3939393939393939,0.3181818181818182,0.2727272727272727,0.3333333333333333,0.30303030303030304,0.3181818181818182,0.3333333333333333,0.3181818181818182,0.24242424242424243,0.2878787878787879,0.3181818181818182,0.30303030303030304,0.3333333333333333,0.3484848484848485,0.2727272727272727,0.2727272727272727,0.2878787878787879,0.21212121212121213,0.21212121212121213,0.18181818181818182,0.2727272727272727,0.30303030303030304,0.21212121212121213,0.30303030303030304,0.30303030303030304,0.25757575757575757,0.3787878787878788,0.3181818181818182,0.24242424242424243,0.25757575757575757,0.3484848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
